epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6663346886634827,0.0010000000474974513,1.039612054824829,0.8130081295967102,0.8169976472854614
1,0.798804759979248,0.0010000000474974513,0.8118553757667542,0.8617886304855347,0.7868877649307251
2,0.8177290558815002,0.0010000000474974513,0.73297119140625,0.8780487775802612,0.7332901358604431
3,0.8316733241081238,0.0010000000474974513,0.7110028862953186,0.8617886304855347,0.707850456237793
4,0.8456175327301025,0.0010000000474974513,0.6949576139450073,0.8861788511276245,0.6488610506057739
5,0.8645418286323547,0.0010000000474974513,0.6478481292724609,0.8617886304855347,0.6699019074440002
6,0.8466135263442993,0.0010000000474974513,0.6695958375930786,0.8211382031440735,0.7106401324272156
7,0.8555777072906494,0.0010000000474974513,0.6538535356521606,0.869918704032898,0.6538597941398621
8,0.8695219159126282,0.0010000000474974513,0.6390206217765808,0.8861788511276245,0.6332176923751831
9,0.8735059499740601,0.0005000000237487257,0.6225576996803284,0.9105691313743591,0.5913577079772949
10,0.8804780840873718,0.0005000000237487257,0.6128435730934143,0.8617886304855347,0.6573386788368225
11,0.8914342522621155,0.0005000000237487257,0.594196081161499,0.8861788511276245,0.6137425899505615
12,0.9003984332084656,0.0005000000237487257,0.5868644118309021,0.8617886304855347,0.5912596583366394
13,0.9093625545501709,0.0005000000237487257,0.5643591284751892,0.8943089246749878,0.5717793107032776
14,0.9063745141029358,0.0002500000118743628,0.5833853483200073,0.8455284833908081,0.6368405222892761
15,0.9063745141029358,0.0002500000118743628,0.5528100728988647,0.869918704032898,0.6100370287895203
16,0.9093625545501709,0.0002500000118743628,0.571308434009552,0.9024389982223511,0.55042964220047
17,0.9003984332084656,0.0002500000118743628,0.5690966844558716,0.8536585569381714,0.6281630396842957
18,0.9153386354446411,0.0001250000059371814,0.5412646532058716,0.8373983502388,0.6285261511802673
19,0.9193227291107178,0.0001250000059371814,0.5660519599914551,0.8455284833908081,0.672614336013794
20,0.9193227291107178,0.0001250000059371814,0.5498769879341125,0.8617886304855347,0.6171213388442993
21,0.9063745141029358,0.0001250000059371814,0.5648295879364014,0.8861788511276245,0.6113697290420532
22,0.9033864736557007,6.25000029685907e-05,0.5701132416725159,0.8617886304855347,0.6463873386383057
23,0.9203187227249146,6.25000029685907e-05,0.5495109558105469,0.8373983502388,0.6577576398849487
24,0.9203187227249146,6.25000029685907e-05,0.5476407408714294,0.8536585569381714,0.59824538230896
3919410706
0,0.9043824672698975,9.999999747378752e-06,0.44059231877326965,0.8536585569381714,0.4799341857433319
1,0.9193227291107178,9.999999747378752e-06,0.408548504114151,0.9186992049217224,0.4320927560329437
2,0.9312748908996582,9.999999747378752e-06,0.3997913599014282,0.8943089246749878,0.4474186599254608
3,0.93824702501297,9.999999747378752e-06,0.38534751534461975,0.869918704032898,0.46937960386276245
0,0.9153386354446411,9.999999747378752e-06,0.43298470973968506,0.869918704032898,0.5100863575935364
4,0.9233067631721497,9.999999747378752e-06,0.3965238034725189,0.8943089246749878,0.4740452468395233
1,0.9272908568382263,9.999999747378752e-06,0.40606680512428284,0.9186992049217224,0.44744905829429626
5,0.93824702501297,9.999999747378752e-06,0.3823821544647217,0.8861788511276245,0.4689873158931732
2,0.9262948036193848,9.999999747378752e-06,0.405628502368927,0.8861788511276245,0.4551042914390564
6,0.9312748908996582,9.999999747378752e-06,0.38091033697128296,0.8780487775802612,0.43948790431022644
3,0.9133465886116028,9.999999747378752e-06,0.4070388674736023,0.869918704032898,0.47618773579597473
4,0.9302788972854614,9.999999747378752e-06,0.38344794511795044,0.8780487775802612,0.4884406626224518
7,0.9312748908996582,4.999999873689376e-06,0.3887859284877777,0.9105691313743591,0.4486320912837982
5,0.9292828440666199,9.999999747378752e-06,0.37993332743644714,0.8861788511276245,0.4934927225112915
6,0.9322709441184998,9.999999747378752e-06,0.3818534314632416,0.8861788511276245,0.45133793354034424
8,0.9332669377326965,4.999999873689376e-06,0.3825886845588684,0.9105691313743591,0.4348354935646057
9,0.9312748908996582,4.999999873689376e-06,0.3765333592891693,0.8943089246749878,0.40538743138313293
7,0.9262948036193848,4.999999873689376e-06,0.3990887701511383,0.8943089246749878,0.46231991052627563
10,0.9312748908996582,4.999999873689376e-06,0.36161333322525024,0.9024389982223511,0.44780492782592773
8,0.9352589845657349,4.999999873689376e-06,0.37268948554992676,0.9268292784690857,0.4706555902957916
11,0.93824702501297,4.999999873689376e-06,0.3659248650074005,0.8617886304855347,0.4997452199459076
9,0.9302788972854614,4.999999873689376e-06,0.3759132921695709,0.9105691313743591,0.41497981548309326
10,0.9372509717941284,4.999999873689376e-06,0.36974090337753296,0.9186992049217224,0.4595576822757721
12,0.9442231059074402,2.499999936844688e-06,0.3683628439903259,0.9268292784690857,0.397566020488739
11,0.9402390718460083,4.999999873689376e-06,0.36919477581977844,0.8617886304855347,0.5176209211349487
13,0.9442231059074402,2.499999936844688e-06,0.36037132143974304,0.8861788511276245,0.4143510162830353
12,0.9492031931877136,4.999999873689376e-06,0.35434359312057495,0.934959352016449,0.3740707337856293
13,0.945219099521637,4.999999873689376e-06,0.3661831021308899,0.8943089246749878,0.4431312382221222
14,0.9342629313468933,4.999999873689376e-06,0.3676379919052124,0.9186992049217224,0.4413681924343109
14,0.9392430186271667,2.499999936844688e-06,0.3678012192249298,0.9024389982223511,0.4369004964828491
15,0.9292828440666199,4.999999873689376e-06,0.377763569355011,0.9186992049217224,0.4159938395023346
16,0.945219099521637,4.999999873689376e-06,0.3677060902118683,0.8943089246749878,0.42153316736221313
